doc_id,url,sha256,bytes,fetched_at_utc
L000149315226008549_form8-k,https://www.sec.gov/Archives/edgar/data/1144879/000149315226008549/form8-k.htm,d9e24de224f3ff68c83f3455f977fd8a4701f173022ab568b11fb575a6c10b4d,47220,2026-09-24T00:53:29Z
L000149315226008772_ex99-1,https://www.sec.gov/Archives/edgar/data/1144879/000149315226008772/ex99-1.htm,f5cd0819b87fac8e84bd06217ac199ca1590f8fe912f244772daed59104bbc0d,14790,2026-09-24T00:53:29Z
L000149315226008772_form8-k,https://www.sec.gov/Archives/edgar/data/1144879/000149315226008772/form8-k.htm,f84cd379642a953980278342f39653cb6e996e68ea2ca6fb9123fe14a5f770a2,46071,2026-09-24T00:53:30Z
L000149315226009538_form8-k,https://www.sec.gov/Archives/edgar/data/1144879/000149315226009538/form8-k.htm,523c93c728c6230345c83d44cb187292be3f62b40ef6f94b55e558fd8f37b2bf,59752,2026-09-24T00:53:30Z
L000149315226027857_form8-k,https://www.sec.gov/Archives/edgar/data/1144879/000149315226027857/form8-k.htm,6b0191dc46a70bdbc82639266ff15f70895ea145314d5815cb3bd94e83bc3133,50082,2026-09-24T00:53:30Z
L000149315226027979_ex99-1,https://www.sec.gov/Archives/edgar/data/1144879/000149315226027979/ex99-1.htm,0151d77246636c4b83902cdccbb110903d9b925b6425c7ad555d92e68079bd45,14845,2026-09-24T00:53:30Z
L000149315226027984_ex99-1,https://www.sec.gov/Archives/edgar/data/1144879/000149315226027984/ex99-1.htm,dcf7a27d9f7e7dac2a34d6795780e386d5fafb6a9a0e47739f9ebf48ab753eec,24087,2026-09-24T00:53:31Z
L000149315226028899_form8-k,https://www.sec.gov/Archives/edgar/data/1144879/000149315226028899/form8-k.htm,02561ceebbb7ad95df63c81191246781af4e8dfb8abe160cff35674de5a63b7f,55812,2026-09-24T00:53:31Z
L000149315226037586_form8-k,https://www.sec.gov/Archives/edgar/data/1948864/000149315226037586/form8-k.htm,8ea80704d9a2e347a116b9a8844929f5dadc004cf0ea6f26ed9d2dcaaa88e9e2,46078,2026-09-24T00:53:31Z
L000149315226043135_ex99-1,https://www.sec.gov/Archives/edgar/data/1948864/000149315226043135/ex99-1.htm,c8b043516558b8b10c34d954a3943a5b3b1586500a218c2f7e316b75a125bf70,26054,2026-09-24T00:53:31Z
L000149315226043135_ex99-2,https://www.sec.gov/Archives/edgar/data/1948864/000149315226043135/ex99-2.htm,d8af29012569b3c536c6e0601948f1c1d2d74aaf8b8b4234369da7191d4ee8db,181099,2026-09-24T00:53:32Z
L000155335026000039_ex99x2,https://www.sec.gov/Archives/edgar/data/1396536/000155335026000039/ex99x2.htm,b3517b6e43d24de17a3295c7cb45063b953f4bb1025aa7954689a4a1dbbafe55,77894,2026-09-24T00:53:32Z
L000162828024043341_corescientifichpcoption3re,https://www.sec.gov/Archives/edgar/data/1839341/000162828024043341/corescientifichpcoption3re.htm,4bda04ef960aae0b668d5da29dd510d6d867bd2ea3936b0dffa25ed954eca9f3,23213,2026-09-24T00:53:33Z
L000162828025008312_ex991-coreweavepressrelease,https://www.sec.gov/Archives/edgar/data/1839341/000162828025008312/ex991-coreweavepressrelease.htm,a661eec4f9ef2c1a5c287529b0c515875e0adfbccaac5eb3d13a48ec34d10e3b,17210,2026-09-24T00:53:33Z
L000164117225013199_ex99-2,https://www.sec.gov/Archives/edgar/data/1144879/000164117225013199/ex99-2.htm,0afd205e22300e1ca54f3ca70c3b767d3d40c10312a6f1f25ea7ac96fcc727d6,19988,2026-09-24T00:53:33Z
L000164117225013199_form8-k,https://www.sec.gov/Archives/edgar/data/1144879/000164117225013199/form8-k.htm,bcd6145dc8e859dc50671f4b78cfb5823cc478cbfb74e940cf1c9ad05e1954f2,75197,2026-09-24T00:53:34Z
L000181998925000110_ciphermining_businessupd,https://www.sec.gov/Archives/edgar/data/1819989/000181998925000110/ciphermining_businessupd.htm,adf822164f67ae4be954dc442963a149b3972eb868f29270a2216a984b3fd816,27992,2026-09-24T00:53:35Z
L000181998925000110_nov3_earningspressreleasex,https://www.sec.gov/Archives/edgar/data/1819989/000181998925000110/nov3_earningspressreleasex.htm,fae70a30bc3950af8fe21797bf2af825ce3c449a0e1058f67bfcca2648a924e0,204890,2026-09-24T00:53:35Z
L000183934126000012_amdpr,https://www.sec.gov/Archives/edgar/data/1839341/000183934126000012/amdpr.htm,2591745ce1e2e8deb488337fb27dd26d6454c7a8554662273ab9c191fadc087b,15401,2026-09-24T00:53:36Z
L000183934126000012_core-20260727,https://www.sec.gov/Archives/edgar/data/1839341/000183934126000012/core-20260727.htm,19960b30cc56d9d94cb0bca5e49cc58f5b1434e442ba51981f1db0d67f98be16,40386,2026-09-24T00:53:36Z
L000185939225000073_glxy-20250930xpressrelease,https://www.sec.gov/Archives/edgar/data/1859392/000185939225000073/glxy-20250930xpressrelease.htm,15b1bf375de03d2d7fb5888413ec32f3cd3bde97b63524cc38afd9418877d4df,1080616,2026-09-24T00:53:37Z
L000185939226000047_glxy-2026331xpressrelease,https://www.sec.gov/Archives/edgar/data/1859392/000185939226000047/glxy-2026331xpressrelease.htm,7ad5b89e5893db67c8c846ff67788f4188167051b902c5bf39927c8c92a11246,683880,2026-09-24T00:53:37Z
L000185939226000068_launch8-kexhibit99172226,https://www.sec.gov/Archives/edgar/data/1859392/000185939226000068/launch8-kexhibit99172226.htm,f7bcc0f8f9865ebe91cb3bf5c7be84bacbf6561f763960cdd6669df69250e72f,22154,2026-09-24T00:53:38Z
L000185939226000079_glxy-20260728,https://www.sec.gov/Archives/edgar/data/1859392/000185939226000079/glxy-20260728.htm,985b1e13a5291a13efb7096df365a0a7dc91ac68f633936763e0b32bb32e5c26,41195,2026-09-24T00:53:38Z
L000185939226000084_glxy-20260630xpressrelease,https://www.sec.gov/Archives/edgar/data/1859392/000185939226000084/glxy-20260630xpressrelease.htm,8dceb144007c6a97bd55b205a4ae22bc8e3b8d8996c0ec2261494251a0f648e5,823321,2026-09-24T00:53:39Z
L000187884825000079_q1fy26resultspressreleas,https://www.sec.gov/Archives/edgar/data/1878848/000187884825000079/q1fy26resultspressreleas.htm,40a753297e4ce1f9600829f39e5df9ee1722a83339a08e7b957323479a7e765f,29445,2026-09-24T00:53:39Z
L000200769126000007_ionicdigitalq22026ex991,https://www.sec.gov/Archives/edgar/data/2007691/000200769126000007/ionicdigitalq22026ex991.htm,da6a99a53387139b47dd1d69e0d1b961e9fddb60bdac05f1e2c4efff54b3ae2d,245601,2026-09-24T00:53:39Z
L000162828024026483_corzcoreweavehpc,https://www.sec.gov/Archives/edgar/data/1839341/000162828024026483/corzcoreweavehpc.htm,28f202f60de2cbd01eb7c6eebaaf54c0e140b5c2e549cf232c1adcd2235e6346,23457,2026-09-24T00:53:40Z
L000162828024029900_ex991-finalcorzhpcoptionre,https://www.sec.gov/Archives/edgar/data/1839341/000162828024029900/ex991-finalcorzhpcoptionre.htm,ff013cdad7f614459b937ea340177abc291947476600584009a9652538f1e177,21522,2026-09-24T00:53:40Z
D29,https://www.prnewswire.com/news-releases/galaxy-completes-phase-i-of-its-helios-data-center-campus-delivering-133-megawatts-of-critical-it-load-to-coreweave-302818664.html,016f21e8bc80cada1cabf86d883aeb2050f8b815470d78ecea37b1df9bf50dbd,215896,2026-09-24T00:53:51Z
L000162828024034989_exhibit991-corescientifich,https://www.sec.gov/Archives/edgar/data/1839341/000162828024034989/exhibit991-corescientifich.htm,976be106d679ef2f41302d23507c0e654c3fbf0f1bad04ac7916b22169208f06,21538,2026-09-24T00:55:09Z
